prix,type_de_bien,details,zone
125000,Appartement à vendre - neuf,1 pièce · 32 m² · RDC/4 · dès le 31/03/2028,Charréard  Vénissieux (69200)
395000,Appartement à vendre - neuf,4 pièces · 3 chambres · 80 m² · 1er étage,Centre Ville  Saint-Priest (69800)
230000,Appartement à vendre - neuf,2 pièces · 1 chambre · 44 m² · dès le 31/03/2028,Parilly-Jules Guesde  Vénissieux (69200)
550000,Appartement à vendre - neuf,5 pièces · 4 chambres · 126 m²,Girondins  Lyon 7ème arrondissement (69007)
360000,Appartement à vendre - neuf,3 pièces · 3 chambres · 64 m²,Bourg  Genas (69740)
233000,Appartement à vendre - neuf,3 pièces · 2 chambres · 70 m² · dès le 31/12/2027,Saint-Marcel (01390)
250000,Appartement à vendre - neuf,2 pièces · 1 chambre · 45 m²,Bourg  Genas (69740)
352500,Appartement à vendre - neuf,3 pièces · 62 m²,Le Vernay   Caluire-et-Cuire (69300)
298000,Appartement à vendre - neuf,2 pièces · 52 m²,Girondins  Lyon 7ème arrondissement (69007)
156000,Appartement à vendre,"1 pièce · 33,7 m² · 2ème étage · dès le 31/05/2026",Valmy  Lyon 9ème arrondissement (69009)
349000,Appartement à vendre - neuf,"4 pièces · 88,7 m² · RDC · dès le 30/09/2026",Toussieu (69780)
820000,Demeure à vendre,7 pièces · 4 chambres · 352 m² · 1 130 m² de terrain,Saint-Germain-Nuelles (69210)
313000,Appartement à vendre,2 pièces · 1 chambre · 54 m² · 5ème étage,Confluence  Lyon 2ème arrondissement (69002)
245000,Appartement à vendre,3 pièces · 2 chambres · 73 m² · RDC/5,Saint Irénée  Lyon 5ème arrondissement (69005)
305000,Appartement à vendre - neuf,4 pièces · 87 m² · 1er étage · dès le 31/12/2026,Leclerc  Rillieux-la-Pape (69140)
725000,Appartement à vendre,4 pièces · 2 chambres · 119 m² · Étage 1/6,Vieux Lyon  Lyon 5ème arrondissement (69005)
170000,Appartement à vendre,3 pièces · 2 chambres · 69 m² · RDC/4,Centre-Max Barel-Centre Nord  Vénissieux (69200)
374000,Appartement à vendre - neuf,3 pièces · 69 m²,Moulin à Vent-Ernest Renan  Vénissieux (69200)
199300,Appartement à vendre - neuf,"4 pièces · 66,3 m² · 4 étages · dès le 31/12/2027",Gare-Peloux Mail-Citadelle  Bourg-en-Bresse (01000)
255924,Appartement à vendre - neuf,3 pièces · 25 m²,Leclerc  Rillieux-la-Pape (69140)
432500,Appartement à vendre - neuf,"4 pièces · 83,5 m² · 10ème étage · dès le 01/01/2027",Clément  Villeurbanne (69100)
182000,Appartement à vendre - neuf,"3 pièces · 2 chambres · 46,9 m² · RDC",Canal  Givors (69700)
428000,Duplex à vendre - neuf,"4 pièces · 3 chambres · 79,5 m² · 4ème étage",Gratte Ciel  Villeurbanne (69100)
285000,Appartement à vendre - neuf,2 pièces · 1 chambre · 45 m² · dès le 30/09/2026,Part-Dieu  Lyon 3ème arrondissement (69003)
188800,Appartement à vendre - neuf,"3 pièces · 2 chambres · 64,6 m² · RDC",Sud  L'Arbresle (69210)
475000,Appartement à vendre - neuf,3 pièces · 70 m² · 6ème étage,Perrache  Lyon 2ème arrondissement (69002)
165991,Appartement à vendre - neuf,2 pièces · 1 chambre · 43 m² · dès le 31/12/2026,Centre  Meyzieu (69330)
267000,Appartement à vendre - neuf,3 pièces · 62 m²,Chessy (69380)
130000,Appartement à vendre - neuf,2 pièces · 1 chambre · 36 m²,Rillieux-la-Pape (69140)
599000,Maison à vendre,5 pièces · 4 chambres · 150 m² · 546 m² de terrain,Gleizé (69400)
238300,Appartement à vendre - neuf,4 pièces · 77 m² · Étage 1/5 · dès le 31/03/2027,Les Grolières-La Grappinière  Vaulx-en-Velin (69120)
472000,Appartement à vendre - neuf,"5 pièces · 94,2 m² · Étage 4/5 · dès le 30/06/2027",La-Soie  Décines-Charpieu (69150)
