type_bien,pieces,prix,surface,etage,ville,code_postal
appartement,4.0,190000.0,63.0,1,lyon,69009
appartement,4.0,499900.0,109.0,6,lyon,69007
appartement,4.0,195000.0,82.0,4,tarare,69170
appartement,4.0,464000.0,76.2,4,lyon,69002
maison,5.0,562000.0,119.0,MAISON,genas,69740
maison,5.0,371000.0,104.0,MAISON,vaugneray,69670
maison,6.0,315000.0,151.0,MAISON,belleville en beaujolais,69220
maison,6.0,399000.0,131.0,MAISON,saint georges de reneins,69830
maison,7.0,849000.0,210.0,MAISON,genay,69730
appartement,2.0,175000.0,41.7,RDC,bron,69500
appartement,2.0,201400.0,73.0,1,échalas,69700
appartement,3.0,452000.0,67.8,4,lyon,69008
appartement,3.0,240000.0,60.0,RDC,pommiers,69480
appartement,3.0,205000.0,73.0,11,lyon,69009
appartement,4.0,665000.0,104.0,9,lyon,69004
appartement,5.0,359000.0,100.0,9,lyon,69005
maison,4.0,320000.0,91.6,MAISON,meyzieu,69330
maison,5.0,270000.0,118.0,MAISON,tarare,69170
maison,7.0,730000.0,222.1,MAISON,pollionnay,69290
maison,11.0,1950000.0,367.8,MAISON,écully,69130
appartement,3.0,390000.0,86.9,1,villeurbanne,69100
appartement,3.0,161000.0,78.6,2,saint priest,69800
appartement,3.0,265000.0,71.0,RDC,vernay,69300
appartement,4.0,259000.0,83.0,3,saint priest,69800
appartement,4.0,379000.0,77.0,1,vernay,69300
appartement,4.0,425000.0,91.0,5,lyon,69004
appartement,4.0,155000.0,78.0,2,grigny sur rhone,69520
appartement,4.0,353000.0,113.6,1,villeurbanne,69100
appartement,5.0,548000.0,92.6,6,lyon,69008
maison,6.0,730000.0,230.0,MAISON,saint cyr sur le rhone,69560
maison,6.0,490000.0,110.0,MAISON,colombier saugnieu,69124
maison,7.0,995000.0,207.0,MAISON,saint genis laval,69230
appartement,2.0,239000.0,48.8,RDC,villeurbanne,69100
appartement,2.0,220000.0,54.4,3,lyon,69009
appartement,3.0,207900.0,72.0,2,saint laurent de mure,69720
appartement,3.0,185000.0,75.0,5,decines charpieu,69150
appartement,3.0,250000.0,64.7,8,caluire et cuire,69300
appartement,4.0,430000.0,94.3,18,villeurbanne,69100
maison,4.0,380000.0,94.2,MAISON,beauvallon,69700
maison,5.0,365000.0,109.4,MAISON,chaponost,69630
